enum	module	function	line	kind
AccessPath	db::access::dispatch	dispatch_access_path	80	match
AccessPath	db::access::path	map_keys	242	match
AccessPathKind	db::access::capabilities	derive_access_path_capabilities	372	match
AccessPathKind	db::access::dispatch	kind	63	match
AccessPathKind	db::access::execution_contract::executable	kind	66	match
AccessPathKind	db::diagnostics::execution_trace	access_path_variant	330	match
AccessPathKind	db::diagnostics::execution_trace	access_path_variant	331	match
CursorPlanError	db::cursor	map_pk_cursor_decode_error	164	match
CursorPlanError	db::cursor	validated_cursor_order_internal	263	match
CursorPlanError	db::cursor::anchor	validate_index_range_boundary_anchor_consistency	281	match
CursorPlanError	db::cursor::boundary	decode_typed_primary_key_cursor_slot	254	match
CursorPlanError	db::cursor::boundary	validate_cursor_boundary_types	178	match
CursorPlanError	db::cursor::validation	validate_cursor_compatibility	42	match
CursorPlanError	db::error::cursor	from_cursor_plan_error	27	match
ErrorClass	db::commit::prepare	prepare_row_commit_for_entity_impl	64	match
ErrorClass	db::diagnostics	classify_scan_error	888	match
ErrorClass	db::executor	class	181	match
ErrorClass	db::query::intent::errors	assert_execute_variant_for_class	230	match
ErrorClass	db::query::intent::errors	from	95	match
ErrorClass	db::registry	class	34	match
ErrorClass	db::session::sql	execute_sql_projection	135	match
ErrorClass	db::session::sql	explain_sql	256	match
ErrorClass	db::session::sql	map_sql_lowering_error	23	match
ErrorClass	db::session::sql	query_from_sql	93	match
ErrorClass	error	new	133	match
PlanError	db::error::planner	from_group_plan_error	34	match
PlanError	db::error::planner	from_group_plan_error	35	match
PlanError	db::error::planner	from_group_plan_error	41	match
PlanError	db::query::plan::expr::type_inference	infer_binary_expr_type	197	match
PlanError	db::query::plan::expr::type_inference	infer_unary_expr_type	162	match
PlanError	db::query::plan::validate::core	validate_group_query_semantics	72	match
PlanError	db::query::plan::validate::grouped::policy	validate_global_distinct_aggregate_without_group_keys	92	match
PlanError	db::query::plan::validate::grouped::policy	validate_grouped_distinct_policy	43	match
PlanError	db::query::plan::validate::grouped::projection_expr	validate_group_projection_expr_compatibility	33	match
PlanError	db::query::plan::validate::grouped::structure	validate_group_spec_structure	109	match
PlanError	db::session	map_executor_plan_error	34	match
PlanPolicyError	db::error::planner	from_group_plan_error	34	match
PlanPolicyError	db::error::planner	from_group_plan_error	35	match
PlanPolicyError	db::error::planner	from_group_plan_error	41	match
PolicyPlanError	db::error::planner	plan_invariant_violation	59	match
Predicate	db::predicate::encoding	encode_predicate_sort_key_into	46	match
Predicate	db::predicate::encoding	hash_predicate_fingerprint	271	match
Predicate	db::predicate::normalize	normalize	37	match
Predicate	db::predicate::normalize	normalize_and	335	match
Predicate	db::predicate::normalize	normalize_enum_literals	86	match
Predicate	db::predicate::normalize	normalize_not	311	if-let
Predicate	db::predicate::normalize	normalize_or	381	match
Predicate	db::predicate::normalize	predicate_eval_cost_rank	408	match
Predicate	db::predicate::runtime	compile_predicate_program	73	match
Predicate	db::predicate::simplify	simplify_and_compare_constraints	42	match
Predicate	db::query::explain::plan	from_predicate	665	match
Predicate	db::query::intent::mutation	append_predicate	24	match
Predicate	db::query::plan::access_choice	evaluate_prefix_candidate	417	match
Predicate	db::query::plan::access_choice	evaluate_range_candidate	551	match
Predicate	db::query::plan::constant_predicate	fold_constant_predicate	18	match
Predicate	db::query::plan::planner::index_select	collect_query_compare_clauses	208	match
Predicate	db::query::plan::planner::index_select	collect_required_compare_clauses	169	match
Predicate	db::query::plan::planner::index_select	query_compare_clauses	118	match
Predicate	db::query::plan::planner::index_select	query_compare_clauses	131	match
Predicate	db::query::plan::planner::index_select	required_compare_clauses	154	match
Predicate	db::query::plan::planner::predicate	plan_predicate	24	match
Predicate	db::schema::validate	reject_unsupported_query_features	21	match
Predicate	db::schema::validate	validate	47	match
Predicate	db::sql::lowering	normalize_predicate_identifiers	553	match
Predicate	db::sql::parser	predicate_compare	1339	match
PreparedIndexDeltaKind	db::executor::mutation::commit_window	summarize_prepared_row_ops	216	match
QueryError	db::query::intent::model	sort_expr	88	match
QueryError	db::session	map_executor_plan_error	34	match
QueryError	db::session::query	execute_load_query_paged_with_trace	115	match
QueryError	db::session::query	execute_query	25	match
QueryError	db::session::query	trace_query	63	match
QueryError	db::session::sql	execute_sql_projection	135	match
QueryError	db::session::sql	explain_sql	256	match
QueryError	db::session::sql	map_sql_lowering_error	23	match
QueryError	db::session::sql	query_from_sql	93	match
RouteShapeKind	db::executor::route::planner::execution	derive_route_execution_stage	80	match
RouteShapeKind	db::executor::route::planner::execution::shape_aggregate_count	build_execution_stage_for_aggregate_count	46	match
RouteShapeKind	db::executor::route::planner::intent	route_shape_kind_for_intent	21	match
StoreError	error	new	133	match
